EquipmentId,latitude,longitude,speed,odometer reading,eventDate,eventGeneratedTime
EQPT-4,12.9605466,74.9332816,8,756196,1.71623E+12,1.71626E+12
EQPT-4,12.9609133,74.933305,17,756237,1.71623E+12,1.71626E+12
EQPT-4,12.9613816,74.9333183,27,756289,1.71623E+12,1.71626E+12
EQPT-4,12.9617033,74.9333583,32,756325,1.71623E+12,1.71626E+12
EQPT-4,12.9620266,74.9334616,32,756372,1.71623E+12,1.71626E+12
EQPT-4,12.9627383,74.9338266,42,756451,1.71623E+12,1.71626E+12
EQPT-4,12.9636433,74.9342816,41,756564,1.71623E+12,1.71626E+12
EQPT-4,12.9644433,74.9347466,37,756666,1.71623E+12,1.71626E+12
EQPT-4,12.965185,74.9353116,39,756769,1.71623E+12,1.71626E+12
EQPT-4,12.9659183,74.9360066,41,756881,1.71623E+12,1.71626E+12
EQPT-4,12.9663716,74.9364766,44,756953,1.71623E+12,1.71626E+12
EQPT-4,12.9667933,74.937315,47,757055,1.71623E+12,1.71626E+12
EQPT-4,12.9672683,74.9381733,43,757162,1.71623E+12,1.71626E+12
EQPT-4,12.967815,74.9389733,42,757269,1.71623E+12,1.71626E+12
EQPT-4,12.9680566,74.939285,31,757312,1.71623E+12,1.71626E+12
EQPT-4,12.9685449,74.9401583,31,757421,1.71623E+12,1.71626E+12
EQPT-4,12.9690183,74.940875,19,757515,1.71623E+12,1.71626E+12
EQPT-4,12.9693516,74.941335,23,757577,1.71623E+12,1.71626E+12
EQPT-4,12.9695799,74.9416016,33,757616,1.71623E+12,1.71626E+12
EQPT-4,12.9700949,74.942365,38,757717,1.71623E+12,1.71626E+12
EQPT-4,12.9706033,74.9432316,38,757826,1.71623E+12,1.71626E+12
EQPT-4,12.971125,74.944065,38,757934,1.71623E+12,1.71626E+12
EQPT-4,12.9714583,74.94448,41,757993,1.71623E+12,1.71626E+12
EQPT-4,12.9717283,74.944885,42,758046,1.71623E+12,1.71626E+12
EQPT-4,12.9722683,74.9457166,40,758155,1.71623E+12,1.71626E+12
EQPT-4,12.97279,74.9465083,44,758260,1.71623E+12,1.71626E+12
EQPT-4,12.9733166,74.9473466,40,758368,1.71623E+12,1.71626E+12
EQPT-4,12.9738166,74.9481416,47,758470,1.71623E+12,1.71626E+12
EQPT-4,12.9742816,74.949,45,758577,1.71623E+12,1.71626E+12
EQPT-4,12.974405,74.9491683,45,758588,1.71623E+12,1.71626E+12
EQPT-4,12.974695,74.9494183,47,758642,1.71623E+12,1.71626E+12
EQPT-4,12.9750933,74.9497316,36,758698,1.71623E+12,1.71626E+12
EQPT-4,12.9752466,74.9499383,35,758717,1.71623E+12,1.71626E+12
EQPT-4,12.97575,74.95063,24,758820,1.71623E+12,1.71626E+12
EQPT-4,12.9759883,74.95099,23,758861,1.71623E+12,1.71626E+12
EQPT-4,12.9761116,74.9512649,17,758900,1.71623E+12,1.71626E+12
EQPT-4,12.9763533,74.95153,28,758940,1.71623E+12,1.71626E+12
EQPT-4,12.9767683,74.9521366,31,759020,1.71623E+12,1.71626E+12
EQPT-4,12.9774216,74.9527166,40,759117,1.71623E+12,1.71626E+12
EQPT-4,12.9782949,74.95318,39,759226,1.71623E+12,1.71626E+12
EQPT-4,12.9790583,74.9536616,44,759326,1.71623E+12,1.71626E+12
EQPT-4,12.9798116,74.954195,43,759428,1.71623E+12,1.71626E+12
EQPT-4,12.9801016,74.9543899,46,759466,1.71623E+12,1.71626E+12
EQPT-4,12.980395,74.9545066,45,759501,1.71623E+12,1.71626E+12
EQPT-4,12.9813899,74.9546516,47,759613,1.71623E+12,1.71626E+12
EQPT-4,12.98217,74.954765,41,759701,1.71623E+12,1.71626E+12
EQPT-4,12.9825383,74.9549399,40,759746,1.71623E+12,1.71626E+12
EQPT-4,12.983375,74.9554299,40,759853,1.71623E+12,1.71626E+12
EQPT-4,12.9839333,74.9556233,51,759919,1.71623E+12,1.71626E+12
EQPT-4,12.9848133,74.9559166,51,760022,1.71623E+12,1.71626E+12
